Timestamp	Rect_id	Rect_x	Rect_y	Rect_W	Rect_H	Meter_X	Meter_Y	Meter_Z	Top	Height	Distance
1455277529.724452726	0	455	124	94	262	1090.44	-87.341	3458.82	675.437	1525.56	17.9744
1455277529.757968657	0	451	123	94	266	1073.73	-93.7975	3482.35	685.894	1559.38	16.7107
1455277529.791482918	0	449	123	99	271	1088.24	-106.948	3529.41	695.163	1610.16	14.5099
1455277529.825000755	0	447	123	159	288	1259.42	-160.422	3529.41	695.163	1711.17	171.184
1455277529.858516685	0	436	122	110	269	1045.44	-95.065	3529.41	701.104	1598.28	213.98
1455277529.892032616	0	426	122	113	265	997.023	-83.7364	3552.94	705.778	1585.01	48.4207
1455277529.925614349	0	428	122	130	259	1064.72	-65.7929	3552.94	705.778	1549.12	67.6991
1455277529.959162704	0	410	123	115	255	916.689	-60.6039	3600	709.066	1545.4	148.033
1455277529.992678635	0	404	123	142	255	966.576	-60.6039	3600	709.066	1545.4	49.8878
1455277530.026162378	0	419	124	128	253	1029.75	-61.3961	3647.06	712.195	1553.32	63.1748
1455277530.059610836	0	401	125	145	254	972.812	-74.1507	3670.59	710.611	1569.52	56.9388
1455277530.093194239	0	401	125	144	253	985.284	-68.8429	3717.65	719.721	1583.39	12.4719
1455277530.126710169	0	400	125	147	260	985.284	-93.8767	3717.65	719.721	1627.2	0
1455277530.160226337	0	401	125	135	259	953.085	-87.6182	3717.65	719.721	1620.94	32.1989
1455277530.193457596	0	414	125	122	263	1010.8	-101.403	3764.71	728.832	1666.81	57.7133
1455277530.226973526	0	409	124	113	253	957.406	-64.1689	3811.76	744.359	1623.47	53.3929
1455277530.260489695	0	405	123	109	253	917.789	-57.752	3811.76	750.776	1623.47	39.6168
1455277530.294005625	0	401	123	103	251	26.9003	-1.58442	117.647	23.1721	49.7111	890.889
1455277530.327501528	0	396	123	96	250	833.909	-52.2857	3882.35	764.679	1633.93	807.009
1455277530.361017696	0	394	123	80	247	762.012	-38.9766	3858.82	760.045	1604.54	71.8972
1455277530.394553654	0	378	123	87	245	675.116	-32.4805	3858.82	760.045	1591.55	86.8961
1455277530.428069584	0	368	123	89	230	614.957	12.9922	3858.82	760.045	1494.1	60.1589
1455277530.461585514	0	361	123	91	233	578.356	6.53572	3882.35	764.679	1522.82	36.6006
1455277530.495081656	0	355	125	92	234	551.334	-13.2299	3929.41	760.718	1547.9	27.0226
1455277530.528617613	0	349	126	94	231	523.496	-6.69416	3976.47	763.134	1546.35	27.8377
1455277530.562175982	0	345	127	97	228	502.832	-6.69416	3976.47	756.44	1526.27	20.6643
1455277530.595692150	0	341	129	106	240	515.752	-60.9604	4023.53	751.845	1625.61	12.9203
1455277530.629320614	0	337	130	110	239	501.813	-60.9604	4023.53	745.072	1618.84	13.9392
1455277530.662836544	0	333	131	114	238	493.58	-68.526	4070.59	746.934	1630.92	8.23318
1455277530.696352474	0	331	133	115	235	485.02	-69.3182	4117.65	741.705	1628.98	8.55914
1455277530.729756109	0	330	133	113	234	478.825	-70.5065	4188.24	754.42	1649.85	6.19522
1455277530.763233654	0	329	133	107	234	449.806	-70.5065	4188.24	754.42	1649.85	29.0197
1455277530.796787970	0	329	133	102	233	435.296	-63.4559	4188.24	754.42	1642.8	14.5099
1455277530.830416672	0	330	133	90	218	399.021	-14.1013	4188.24	754.42	1537.04	36.2747
1455277530.863932602	0	331	133	80	214	374.159	0	4235.29	762.896	1525.79	24.8624
1455277530.897338144	0	331	131	72	222	344.813	-14.2597	4235.29	777.156	1582.83	29.3458
1455277530.930851929	0	327	131	68	222	300.794	-14.2597	4235.29	777.156	1582.83	44.0186
1455277530.964329712	0	322	131	65	223	252.211	-14.4182	4282.35	785.791	1607.63	48.5835
1455277530.997845642	0	315	131	66	222	207.703	-14.4182	4282.35	785.791	1600.42	44.5078
1455277531.031361572	0	302	131	76	227	149.99	-29.1533	4329.41	794.426	1654.45	57.7134
1455277531.064877741	0	289	131	84	226	83.8392	-29.6286	4400	807.379	1674.02	66.1503
1455277531.098393671	0	294	131	77	226	89.9937	-29.1533	4329.41	794.426	1647.16	6.15446
1455277531.131754391	0	288	132	93	225	104.993	-29.1533	4329.41	787.138	1639.87	14.999
1455277531.165270559	0	285	133	78	218	29.9979	-14.5766	4329.41	779.85	1588.85	74.9948
1455277531.198823444	0	258	133	123	219	-7.49948	-14.5766	4329.41	779.85	1596.14	37.4974
1455277531.232498161	0	271	133	108	222	37.0898	-28.8364	4282.35	771.373	1600.42	44.5893
